topic,question
Mathematics,How many onto (or surjective) functions are there from an n-element ( n≥2 ) set to a 2-element set?
Mathematics,"Let f be a function from a set A to a set B, g a function from B to C, and h a function from A to C, such that h(a)=g(f(a)) for all a∈A. Which of the following statements is always true for all such functions f and g?"
Mathematics,Let f: B → C and g: A → B be two functions and let h = f⋅g. Given that h is an onto function which one of the following is TRUE?
Mathematics,The number of functions from an m element set to an n element set is
Mathematics,"Consider the function y=|x| in the interval [-1, 1]. In this interval, the function is"
Mathematics,"Let R denote the set of real numbers. Let f:R×R→R×R be a bijective function defined by f(x,y)=(x+y,x−y). The inverse function of f is given by"
Mathematics,Suppose X and Y are sets and |X| and |Y| are their respective cardinality. It is given that there are exactly 97 functions from X to Y. From this one can conclude that
Mathematics,"Let A and B be sets with cardinalities m and n respectively. The number of one-one mappings from A to B, when m<n, is"
Mathematics,If f(xi​).f(xi+1​)<0 then
Mathematics,"Let R be the set of all binary relations on the set {1,2,3}. Suppose a relation is chosen from R at random. The probability that the chosen relation is reflexive (round off to 3 decimal places) is"
Mathematics,The time complexity of computing the transitive closure of binary relation on a set of n elements is known to be
Mathematics,The time complexity of computing the transitive closure of a binary relation on a set of n elements is known to be
Mathematics,"Let R be a relation on the set of ordered pairs of positive integers such that ((p,q),(r,s))∈R if and only if p−s=q−r. Which one of the following is true about R?"
Mathematics,Let R be the relation on the set of positive integers such that aRb if and only if a and b are distinct and have a common divisor other than 1. Which one of the following statements about R is true?
Mathematics,"Consider the binary relation R = {(x,y), (x,z), (z,x), (z,y)} on the set {x,y,z}. Which one of the following is TRUE?"
Mathematics,Let R and S be any two equivalence relations on a non-empty set A. Which one of the following statements is TRUE?
Mathematics,"The binary relation S = ϕ (empty set) on set A = {1,2,3} is"
Mathematics,A relation R is defined on the set of integers as xRy iff (x + y) is even. Which of the following statements is true?
Mathematics,"Let L be a set with a relation R which is transitive, anti-symmetric and reflexive and for any two elements a,b∈L, let the least upper bound lub(a,b) and the greatest lower bound glb(a,b) exist. Which of the following is/are true?"
Mathematics,The number of binary relations on a set with n elements is:
Mathematics,"The binary relation R={(1,1),(2,1),(2,2),(2,3),(2,4),(3,1),(3,2),(3,3),(3,4)} on the set A={1,2,3,4} is"
Mathematics,Suppose A is a finite set with n elements. The number of elements in the largest equivalence relation of A is
Mathematics,"The number of equivalence relations of the set {1,2,3,4} is"
Mathematics,"Let R be a non-empty relation on a collection of sets defined by A​RB​ if and only if A∩B=ϕ. Then, (pick the true statement)"
Mathematics,Let R be a symmetric and transitive relation on a set A. Then
Mathematics,"The less-than relation, <, on reals is"
Mathematics,"Let Graph(x) be a predicate which denotes that x is a graph. Let Connected(x) be a predicate which denotes that x is connected. Which of the following first order logic sentences DOES NOT represent the statement: ""Not every graph is connected""?"
Mathematics,The following propositional statement is (P→(Q∨R))→((P∨Q)→R)
Mathematics,"Let P, Q and R be tree atomic prepositional assertions. Let X denote (P ∨ Q) → R and Y denote (P → R) ∨ (Q → R). Which one of the following is a tautology?"
Mathematics,"""If X then Y unless Z"" is represented by which of the following formulas in prepositional logic? (""¬"", is negation, ""∧"" is conjunction, and ""→"" is implication)"
Mathematics,"Let a, b, c, d be propositions. Assume that the equivalence a⇔(b∨¬b) and b⇔c hold. Then the truth-value of the formula (a∧b)→(a∧c)∨d is always"
Mathematics,Which of the following propositions is a tautology?
Mathematics,"Which of the following is false? Read ∧ as AND, ∨ as OR, ¬ as NOT, → as one way implication and ↔ as two way implication"
Mathematics,"If the proposition ¬p→q is true, then the truth value of the proposition ¬p∨(p→q), where ¬ is negation, ∨ is inclusive OR and → is implication, is"
Mathematics,The proposition p∧(∼p∨q) is:
Mathematics,Which of the following predicate calculus statements is/are valid?
Mathematics,Which of the following well-formed formulas are equivalent?
Mathematics,"Let Zn​ be the group of integers {0,1,2,…,n−1} with addition modulo n as the group operation. The number of elements in the group Z2​×Z3​×Z4​ that are their own inverses is"
Mathematics,"Consider the operators ⋄ and □ defined by a⋄b=a+2b,a□b=ab, for positive integers. Which of the following statements is/are TRUE?"
Mathematics,"Let G be a group of order 6, and H be a subgroup of G such that 1 < |H| < 6. Which one of the following options is correct?"
Mathematics,Let G be a group of 35 elements. Then the largest possible size of a subgroup of G other than G itself is
Mathematics,"(G,*) is an abelian group. Then"
Mathematics,Let G be a finite group on 84 elements. The size of a largest possible proper subgroup of G is
Mathematics,"f(G,.) is a group such that (ab)−1=a−1b−1,∀a,b∈G, then G is a/an"
Mathematics,Let G be a group with 15 elements. Let L be a subgroup of G. It is known that L=G and that the size of L is at least 4. The size of L is
Mathematics,The arithmetic mean of attendance of 49 students of class A is 40% and that of 53 students of class B is 35%. Then the percentage of arithmetic mean of attendance of class A and B is
Mathematics,"Consider the set S = {1, ω,ω2}, where ω and ω2 are cube roots of unity. If * denotes the multiplication operation, the structure (S, *) forms"
